school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,G3,G2,G1,guardian,schoolsup,famsup,paid,activities,higher,romantic,traveltime,studytime,failures,famrel,goout,Dalc,Walc,health,absences,freetime
GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,11.5,11.5,10.0,mother,yes,yes,yes,yes,yes,no,2.0,4.0,0.5,3.0,2.0,1.0,1.0,1.0,4.0,1.0
GP,F,15,R,GT3,T,1,1,other,other,course,yes,yes,9.0,9.0,8.0,mother,no,no,no,yes,yes,yes,3.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,5.0
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,8.0,8.5,10.5,mother,yes,yes,no,no,yes,yes,1.0,2.0,1.0,3.0,4.0,2.0,4.0,5.0,2.0,3.0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,12.5,13.0,14.0,mother,yes,yes,yes,yes,yes,no,1.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,8.0,3.0
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,9.0,10.0,10.0,mother,yes,yes,yes,yes,yes,no,1.0,3.0,0.0,4.0,2.0,1.0,1.0,5.0,2.0,3.0
GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,11.5,11.5,11.5,other,no,yes,yes,yes,yes,yes,2.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,8.0,2.0
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,11.5,12.0,11.5,mother,yes,yes,yes,yes,yes,no,1.0,3.0,0.0,4.0,2.0,1.0,1.0,5.0,2.0,3.0
GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,6.0,5.5,11.0,father,no,yes,no,no,yes,yes,2.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,0.0,2.0
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,9.5,9.5,9.5,mother,yes,yes,yes,no,yes,no,2.0,2.0,0.0,4.0,3.0,1.0,3.0,4.0,2.0,1.0
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,15.5,15.5,15.5,father,no,yes,no,no,yes,no,2.0,4.0,0.0,4.0,2.0,2.0,3.0,3.0,12.0,4.0
GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,10.5,10.5,10.0,father,yes,no,no,no,yes,no,1.0,4.0,0.0,4.0,3.0,1.0,1.0,4.0,10.0,3.0
GP,F,15,U,GT3,A,3,3,services,services,home,no,no,9.0,8.0,9.0,mother,no,no,no,no,yes,yes,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,24.0,3.0
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,15.0,14.5,14.5,mother,no,yes,yes,yes,yes,no,1.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0
GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,6.5,6.0,9.5,mother,no,yes,no,yes,yes,yes,3.0,1.0,0.0,4.0,3.0,1.0,2.0,4.0,6.0,3.0
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,11.0,11.0,11.0,father,no,yes,no,yes,yes,no,1.0,2.0,0.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0
GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes,11.5,11.5,10.0,father,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,2.0,1.0,2.0,5.0,0.0,4.0
GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,12.0,11.5,11.5,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,2.0,1.0,1.0,5.0,6.0,3.0
GP,F,15,U,GT3,T,1,2,at_home,services,course,no,no,11.0,11.0,11.0,father,no,no,no,no,yes,yes,1.0,2.0,0.0,2.0,4.0,2.0,4.0,1.0,6.0,3.0
GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,14.5,14.5,15.0,mother,no,no,no,no,yes,no,1.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,12.5,12.0,10.0,father,no,yes,no,yes,yes,no,3.0,3.0,0.0,5.0,2.0,1.0,1.0,4.0,4.0,2.0
GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,9.0,9.0,8.5,mother,yes,yes,yes,no,yes,no,1.0,4.0,0.0,5.0,2.0,1.0,1.0,3.0,8.0,1.0
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,8.5,9.0,9.5,father,no,yes,no,yes,yes,no,2.0,1.0,0.0,3.0,1.0,1.0,1.0,5.0,4.0,5.0
GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,5.5,9.0,8.5,father,no,yes,no,no,yes,no,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0
GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,8.0,8.0,9.0,mother,yes,yes,yes,no,yes,no,2.0,2.0,0.0,4.0,5.0,1.0,1.0,2.0,26.0,3.0
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,14.5,14.0,14.5,mother,no,yes,yes,yes,yes,yes,1.0,3.0,0.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,14.5,14.5,14.0,mother,no,yes,no,yes,yes,no,1.0,3.0,0.0,5.0,3.0,1.0,3.0,1.0,4.0,3.0
GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,15.5,15.0,15.0,mother,no,no,yes,yes,yes,no,1.0,1.0,0.0,4.0,5.0,1.0,3.0,1.0,6.0,5.0
GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes,7.5,7.0,12.0,mother,no,yes,no,yes,yes,yes,1.0,3.0,0.0,4.0,3.0,1.0,1.0,5.0,4.0,3.0
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,11.5,11.0,10.5,mother,yes,yes,yes,no,yes,no,1.0,1.0,0.0,3.0,4.0,2.0,3.0,5.0,0.0,3.0
GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,10.0,10.0,9.5,father,no,no,yes,no,yes,yes,2.0,2.0,1.0,4.0,4.0,2.0,3.0,5.0,6.0,4.0
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,9.5,9.5,10.0,father,yes,yes,no,yes,yes,no,1.0,2.0,0.5,4.0,4.0,1.0,1.0,3.0,2.0,4.0
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,11.5,11.0,12.0,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0
GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes,12.0,12.0,11.0,mother,no,yes,yes,yes,yes,no,1.0,3.0,0.0,4.0,2.0,1.0,1.0,5.0,2.0,2.0
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes,14.5,15.0,14.5,mother,no,no,no,yes,yes,no,2.0,1.0,0.0,4.0,2.0,1.0,1.0,5.0,6.0,3.0
GP,F,15,U,LE3,A,2,1,at_home,other,home,yes,yes,10.0,10.0,11.0,mother,no,yes,no,yes,no,yes,2.0,1.0,0.0,4.0,2.0,1.0,1.0,5.0,0.0,4.0
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,13.0,12.5,11.5,mother,no,no,yes,no,yes,no,1.0,1.0,0.0,5.0,4.0,4.0,4.0,1.0,6.0,3.0
GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes,11.0,10.5,8.5,mother,yes,no,no,yes,yes,yes,1.0,2.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,3.0
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,8.5,9.5,9.0,mother,yes,yes,yes,yes,yes,yes,1.0,2.0,0.0,5.0,2.0,1.0,1.0,5.0,8.0,2.0
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,11.0,10.5,9.5,mother,yes,no,yes,no,yes,no,1.0,2.0,1.5,4.0,2.0,2.0,3.0,3.0,10.0,3.0
GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,8.5,8.5,9.5,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,4.0,1.0,1.0,5.0,10.0,4.0
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,14.5,13.5,13.5,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,3.0,1.0,1.0,5.0,2.0,3.0
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,11.0,11.0,11.5,father,yes,no,no,yes,yes,yes,1.0,2.0,0.0,4.0,4.0,2.0,4.0,2.0,0.0,4.0
GP,F,16,R,GT3,T,1,1,at_home,other,course,yes,no,13.0,13.0,14.0,mother,no,yes,no,no,yes,no,4.0,2.0,0.0,5.0,3.0,1.0,1.0,3.0,0.0,1.0
GP,F,16,R,GT3,T,1,1,other,services,reputation,yes,no,11.0,11.0,12.0,mother,no,yes,no,yes,yes,yes,2.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,8.0,3.0
GP,F,16,R,GT3,T,2,2,services,services,reputation,no,yes,12.0,11.5,11.5,mother,no,yes,yes,yes,yes,no,2.0,4.0,0.0,5.0,5.0,1.0,1.0,5.0,6.0,3.0
GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,10.5,10.5,9.0,father,yes,yes,no,yes,yes,no,1.0,3.0,0.5,4.0,2.0,1.0,1.0,2.0,4.0,1.0
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,13.5,13.5,13.5,mother,no,yes,no,yes,yes,no,1.0,2.0,0.0,2.0,4.0,2.0,3.0,4.0,6.0,4.0
GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,11.0,11.0,10.0,mother,no,no,yes,yes,yes,yes,1.0,2.0,0.0,5.0,4.0,1.0,1.0,2.0,8.0,3.0
GP,F,16,U,GT3,A,2,2,other,other,home,yes,no,11.0,11.0,13.0,mother,no,no,no,no,yes,no,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,12.0,3.0
GP,F,16,U,GT3,A,2,2,other,other,reputation,yes,yes,13.5,13.0,12.5,mother,yes,yes,yes,no,yes,no,1.0,2.0,0.0,3.0,4.0,1.0,1.0,4.0,0.0,3.0
GP,F,16,U,GT3,A,3,1,services,other,course,yes,yes,9.5,9.0,9.0,mother,no,yes,yes,no,yes,no,1.0,2.0,1.5,2.0,3.0,2.0,2.0,4.0,5.0,3.0
GP,F,16,U,GT3,A,3,3,other,other,course,no,yes,5.0,4.5,6.5,other,no,yes,no,yes,yes,yes,2.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,3.0
GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes,12.5,12.0,13.5,father,no,no,no,no,yes,no,1.0,1.0,0.0,3.0,1.0,1.0,4.0,5.0,16.0,2.0
GP,F,16,U,GT3,A,4,1,other,other,home,yes,yes,13.0,13.0,14.0,mother,no,no,no,yes,yes,yes,1.0,2.0,0.0,5.0,3.0,1.0,2.0,5.0,0.0,3.0
GP,F,16,U,GT3,T,1,1,at_home,other,home,yes,no,11.5,11.0,10.5,mother,no,yes,yes,no,yes,no,2.0,1.0,0.0,4.0,2.0,1.0,4.0,5.0,6.0,3.0
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,13.5,9.0,10.0,father,yes,yes,no,yes,yes,yes,4.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
GP,F,16,U,GT3,T,1,2,other,other,course,yes,yes,11.0,11.0,12.0,mother,no,no,no,no,no,no,1.0,1.0,0.0,5.0,5.0,1.0,2.0,5.0,4.0,3.0
GP,F,16,U,GT3,T,1,3,at_home,services,home,no,yes,6.5,10.0,11.0,mother,no,no,no,yes,yes,yes,1.0,2.0,1.5,4.0,5.0,1.0,1.0,3.0,0.0,3.0
GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,11.0,10.5,10.5,mother,no,yes,yes,no,yes,yes,1.0,2.0,0.0,4.0,5.0,1.0,1.0,5.0,2.0,3.0
GP,F,16,U,GT3,T,2,1,other,other,home,yes,yes,11.0,11.0,11.0,mother,no,no,no,no,yes,yes,1.0,1.0,0.0,4.0,2.0,1.0,1.0,5.0,20.0,5.0
GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,11.5,11.5,9.0,mother,yes,no,no,yes,yes,no,1.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,12.0,1.0
GP,F,16,U,GT3,T,2,2,other,other,home,no,yes,6.5,9.5,9.0,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,5.0,5.0,1.0,1.0,4.0,0.0,1.0
GP,F,16,U,GT3,T,2,2,other,other,home,yes,yes,9.5,9.0,10.0,mother,no,no,yes,no,yes,yes,1.0,2.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,4.0
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,12.0,12.0,12.0,mother,no,no,yes,no,yes,yes,1.0,4.0,0.0,5.0,3.0,1.0,3.0,3.0,1.0,2.0
GP,F,16,U,GT3,T,2,2,services,other,reputation,no,yes,12.5,12.5,13.0,mother,no,no,yes,yes,yes,no,2.0,2.0,0.0,3.0,4.0,1.0,4.0,5.0,2.0,4.0
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,10.0,10.0,8.0,mother,no,yes,yes,no,yes,no,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,14.0,2.0
GP,F,16,U,GT3,T,2,3,other,other,reputation,yes,no,11.0,11.0,9.5,mother,yes,yes,yes,yes,yes,no,1.0,2.0,0.0,4.0,3.0,1.0,3.0,4.0,6.0,4.0
GP,F,16,U,GT3,T,2,3,services,services,course,yes,yes,13.0,12.0,11.5,mother,no,no,no,no,yes,no,1.0,2.0,0.0,4.0,3.0,1.0,1.0,2.0,10.0,3.0
GP,F,16,U,GT3,T,2,3,services,teacher,other,yes,yes,15.5,14.5,14.5,mother,yes,no,no,no,yes,no,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,8.0,8.0,8.5,mother,yes,yes,yes,no,yes,no,1.0,4.0,0.0,4.0,3.0,1.0,2.0,5.0,4.0,3.0
GP,F,16,U,GT3,T,3,2,other,other,reputation,yes,yes,14.0,14.0,13.0,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,14.0,2.0
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,11.5,11.5,8.5,father,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,2.0,1.0,2.0,5.0,4.0,3.0
GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,9.5,9.0,8.0,mother,no,yes,yes,no,yes,yes,1.0,3.0,0.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,12.0,12.0,10.5,mother,yes,yes,no,yes,yes,no,3.0,2.0,0.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,11.0,11.5,11.0,mother,yes,yes,yes,yes,yes,no,1.0,2.0,0.0,4.0,3.0,2.0,4.0,5.0,54.0,3.0
GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,8.0,8.0,8.5,mother,no,yes,no,no,yes,no,1.0,2.0,0.0,2.0,3.0,1.0,2.0,3.0,14.0,4.0
GP,F,16,U,GT3,T,4,2,health,services,home,yes,yes,17.0,16.0,15.5,father,no,no,yes,no,yes,yes,1.0,2.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,2.0
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,16.0,15.5,15.5,mother,no,yes,no,no,yes,no,1.0,2.0,0.0,4.0,3.0,1.0,1.0,5.0,2.0,2.0
GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,12.0,12.0,12.0,mother,no,yes,yes,yes,yes,no,2.0,2.0,0.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0
GP,F,16,U,GT3,T,4,3,health,other,home,yes,yes,15.5,15.0,15.0,mother,no,yes,no,yes,yes,no,1.0,2.0,0.0,4.0,5.0,1.0,5.0,2.0,2.0,3.0
GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,10.5,11.0,9.5,mother,yes,yes,yes,no,yes,no,1.0,3.0,0.0,5.0,5.0,1.0,1.0,3.0,2.0,3.0
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,11.0,11.0,12.0,mother,yes,yes,yes,yes,yes,no,1.0,3.0,0.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0
GP,F,16,U,GT3,T,4,3,teacher,other,other,yes,yes,14.0,13.5,12.5,mother,no,no,yes,yes,yes,yes,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,10.0,3.0
GP,F,16,U,GT3,T,4,4,health,health,reputation,yes,yes,15.5,15.0,15.0,mother,no,yes,yes,no,yes,yes,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,0.0,4.0
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,15.5,15.5,15.5,mother,no,yes,no,no,yes,no,1.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,6.0,4.0
GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,13.5,13.5,11.5,mother,no,no,no,yes,yes,no,1.0,1.0,0.0,5.0,4.0,1.0,2.0,1.0,6.0,3.0
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,14.0,13.5,13.0,mother,no,yes,yes,yes,yes,no,1.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,10.0,2.0
GP,F,16,U,GT3,T,4,4,teacher,services,home,no,yes,15.0,14.5,14.0,mother,no,yes,no,yes,yes,no,1.0,3.0,0.0,5.0,2.0,1.0,1.0,5.0,4.0,3.0
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,12.0,12.0,12.0,mother,no,yes,no,no,yes,no,1.0,2.0,0.0,2.0,5.0,1.0,4.0,3.0,12.0,3.0
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes,12.0,12.5,12.0,mother,no,no,no,no,yes,no,1.0,1.0,0.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,9.5,11.5,10.5,father,yes,no,no,yes,yes,no,1.0,2.0,0.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,8.5,9.0,10.5,mother,no,yes,no,no,yes,no,1.0,2.0,0.0,4.0,4.0,1.0,2.0,2.0,6.0,3.0
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,10.0,10.5,10.0,father,yes,no,no,yes,yes,no,2.0,2.0,1.0,4.0,3.0,2.0,2.0,5.0,14.0,3.0
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,10.5,10.5,9.0,mother,no,yes,no,yes,yes,yes,2.0,2.0,0.5,3.0,3.0,1.0,2.0,3.0,25.0,3.0
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,13.0,13.0,13.0,mother,no,yes,yes,no,yes,no,3.0,2.0,0.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0
GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes,13.0,12.5,13.5,father,no,yes,yes,yes,yes,yes,2.0,2.0,0.0,4.0,2.0,1.0,2.0,5.0,2.0,2.0
GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,9.0,9.5,9.5,father,yes,yes,no,no,yes,no,1.0,2.0,0.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0
GP,F,16,U,LE3,T,3,3,other,other,reputation,yes,yes,12.0,12.5,12.0,mother,no,yes,yes,yes,yes,no,2.0,2.0,0.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,15.5,15.0,16.0,mother,no,yes,no,yes,yes,no,3.0,2.0,0.0,5.0,3.0,1.0,2.0,1.0,2.0,4.0
GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,15.0,15.0,14.5,mother,no,yes,yes,yes,yes,yes,1.0,3.0,0.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0
GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,yes,yes,10.5,9.5,10.0,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,0.0,5.0
GP,F,17,R,GT3,A,3,2,other,other,home,yes,yes,13.0,12.0,11.5,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0
GP,F,17,R,GT3,T,2,1,at_home,services,course,yes,no,12.0,12.0,13.0,mother,no,no,no,yes,yes,no,3.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0
GP,F,17,R,GT3,T,2,1,at_home,services,reputation,yes,yes,8.5,8.0,8.5,mother,no,yes,no,yes,yes,no,2.0,2.0,0.0,4.0,5.0,1.0,2.0,5.0,2.0,2.0
GP,F,17,R,GT3,T,2,2,other,other,reputation,yes,yes,9.5,9.5,10.0,mother,no,yes,no,no,yes,no,1.0,1.0,0.0,5.0,2.0,1.0,2.0,3.0,21.0,3.0
GP,F,17,R,GT3,T,2,4,at_home,other,course,yes,yes,14.5,14.5,13.5,father,no,yes,no,no,yes,yes,1.0,3.0,0.0,4.0,3.0,1.0,1.0,5.0,7.0,4.0
GP,F,17,R,GT3,T,3,4,at_home,services,course,no,yes,13.5,13.0,13.0,father,no,yes,yes,yes,yes,no,1.0,3.0,0.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0
GP,F,17,R,GT3,T,4,2,other,other,course,yes,yes,14.0,12.0,11.0,mother,no,yes,no,yes,yes,no,1.0,3.0,0.0,4.0,4.0,1.0,3.0,5.0,2.0,3.0
GP,F,17,R,GT3,T,4,3,teacher,other,reputation,yes,yes,9.5,9.5,9.0,mother,no,yes,yes,yes,yes,yes,2.0,3.0,0.0,4.0,2.0,1.0,1.0,4.0,6.0,4.0
GP,F,17,R,GT3,T,4,4,services,services,reputation,yes,yes,8.0,7.0,7.0,mother,no,yes,no,yes,yes,no,2.0,3.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,3.0
GP,F,17,R,GT3,T,4,4,teacher,teacher,course,yes,yes,17.0,16.0,15.0,mother,no,no,no,yes,yes,no,1.0,1.0,0.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0
